manifest_order	year	edition	configured_source	range_start	range_end	configured_range_kind	schema_regime	unit_multiplier	rotation_degrees	source_note	todo	manifest_row_status	selected_source_available	selected_source_type	selected_source_path	alternate_source_count	alternate_source_paths	output_token_file_count	output_page_count	invalid_row_note
47	1902	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
48	1902	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
49	1903	1	hathi	41	844	physical_pdf_page	1898	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1903-1-hathi.pdf	0		1	804	
50	1803	1	hathi	1	2	physical_pdf_page	1898	1	0			invalid	no	missing		0		0	0	year outside 1879-1942 corpus; likely stray test row
51	1903	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
52	1904	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
53	1904	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
54	1905	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
55	1905	2	google	55	1011	physical_pdf_page	1898	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1905-2-google.pdf	0		1	957	
56	1906	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
57	1906	2	google	47	1017	physical_pdf_page	1898	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1906-2-google.pdf	0		1	971	
58	1907	1	fraser	2	8	multipart_pdf_position	1898	1	0	folder		configured	no	missing		0		7	918	
59	1907	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
60	1908	1				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
61	1908	2				not_applicable		1				blank_source_placeholder	not_applicable	not_configured		0		0	0	
62	1909	1	fraser	2	8	multipart_pdf_position	1898	1	0	folder		configured	no	missing		0		7	935	
63	1909	2	google	36	1063	physical_pdf_page	1898	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1909-2-google.pdf	0		1	1028	
64	1910	1	fraser	2	8	multipart_pdf_position	1910	1	0	folder		configured	no	missing		0		7	970	
65	1910	2	google	50	1159	physical_pdf_page	1910	1	90			configured	yes	pdf	/home/sergio/Dropbox/Projects/Historical-Documents/Rand McNally/sources/1910-2-google.pdf	0		1	1110	
